PrimaryKey,Structure,CityName
Hanson2016_1174,Urban grid,Algiers
Hanson2016_1174,Walls,Algiers
Hanson2016_1175,Aqueduct,Djidjelli
Hanson2016_1175,Aqueduct,Djidjelli
Hanson2016_1175,Baths,Djidjelli
Hanson2016_1175,Walls,Djidjelli
Hanson2016_1176,Amphitheatre,Cherchell
Hanson2016_1176,Aqueduct,Cherchell
Hanson2016_1176,Aqueduct,Cherchell
Hanson2016_1176,Aqueduct?,Cherchell
Hanson2016_1176,Basilica,Cherchell
Hanson2016_1176,Baths,Cherchell
Hanson2016_1176,Baths,Cherchell
Hanson2016_1176,Baths,Cherchell
Hanson2016_1176,Baths,Cherchell
Hanson2016_1176,Baths (Central),Cherchell
Hanson2016_1176,Baths (East),Cherchell
Hanson2016_1176,Baths (West),Cherchell
Hanson2016_1176,Baths?,Cherchell
Hanson2016_1176,Bridge,Cherchell
Hanson2016_1176,Capitolium,Cherchell
Hanson2016_1176,Forum,Cherchell
Hanson2016_1176,Harbour,Cherchell
Hanson2016_1176,Hippodrome,Cherchell
Hanson2016_1176,Nymphaeum,Cherchell
Hanson2016_1176,Temple,Cherchell
Hanson2016_1176,Temple,Cherchell
Hanson2016_1176,Temple of Asclepius,Cherchell
Hanson2016_1176,Theatre,Cherchell
Hanson2016_1176,Urban grid,Cherchell
Hanson2016_1176,Walls,Cherchell
Hanson2016_1177,Baths,Tigzirt
Hanson2016_1177,Forum,Tigzirt
Hanson2016_1177,Temple,Tigzirt
Hanson2016_1177,Walls,Tigzirt
Hanson2016_1178,Aqueduct,Henchir Merouana
Hanson2016_1180,Capitolium,Mons
Hanson2016_1180,Curia?,Mons
Hanson2016_1180,Forum?,Mons
Hanson2016_1180,Temple of Saturn,Mons
Hanson2016_1182,Baths,Arzew
Hanson2016_1182,Curia?,Arzew
Hanson2016_1182,Forum,Arzew
Hanson2016_1182,Temple ('capitolium'),Arzew
Hanson2016_1182,Temple of Baal Hammon / Saturn?,Arzew
Hanson2016_1182,Temple?,Arzew
Hanson2016_1182,Walls?,Arzew
Hanson2016_1183,Arch,El Bénian
Hanson2016_1184,Curia?,Sour Djouab
Hanson2016_1184,Fort,Sour Djouab
Hanson2016_1184,Forum,Sour Djouab
Hanson2016_1184,Temple,Sour Djouab
Hanson2016_1184,Temple ('capitolium'),Sour Djouab
Hanson2016_1184,Temple of Ceres,Sour Djouab
Hanson2016_1184,Temple of Jupiter,Sour Djouab
Hanson2016_1184,Temple of Saturn and Caelestis,Sour Djouab
Hanson2016_1184,Unidentified public building,Sour Djouab
Hanson2016_1184,Walls,Sour Djouab
Hanson2016_1185,Baths,Azeffoun
Hanson2016_1185,Temple,Azeffoun
Hanson2016_1185,Walls,Azeffoun
Hanson2016_1186,Aqueduct,Tementfoust
Hanson2016_1186,Aqueduct,Tementfoust
Hanson2016_1186,Baths,Tementfoust
Hanson2016_1186,Baths,Tementfoust
Hanson2016_1186,Temple?,Tementfoust
Hanson2016_1186,Temple?,Tementfoust
Hanson2016_1189,Aqueduct,Béjaia
Hanson2016_1189,Baths,Béjaia
Hanson2016_1189,Baths,Béjaia
Hanson2016_1189,Baths,Béjaia
Hanson2016_1189,Forum,Béjaia
Hanson2016_1189,Harbour,Béjaia
Hanson2016_1189,Temple,Béjaia
Hanson2016_1189,Theatre, amphitheatre, or circus?,Béjaia
Hanson2016_1189,Urban grid,Béjaia
Hanson2016_1189,Walls,Béjaia
Hanson2016_1190,Aqueduct,Takembrit
Hanson2016_1190,Baths,Takembrit
Hanson2016_1191,Amphitheatre,Sétif
Hanson2016_1191,Aqueduct,Sétif
Hanson2016_1191,Baths (Central),Sétif
Hanson2016_1191,Baths of Venus,Sétif
Hanson2016_1191,Forum,Sétif
Hanson2016_1191,Hippodrome,Sétif
Hanson2016_1191,Temple,Sétif
Hanson2016_1191,Temple ('capitolium'),Sétif
Hanson2016_1191,Temple of Magna Mater,Sétif
Hanson2016_1191,Theatre,Sétif
Hanson2016_1191,Walls (Byzantine),Sétif
Hanson2016_1191,Walls (Late Roman),Sétif
Hanson2016_1192,Baths,El Kherba
Hanson2016_1193,Amphitheatre,Tipaza
Hanson2016_1193,Aqueduct,Tipaza
Hanson2016_1193,Basilica,Tipaza
Hanson2016_1193,Baths (Large),Tipaza
Hanson2016_1193,Baths (Small),Tipaza
Hanson2016_1193,Curia,Tipaza
Hanson2016_1193,Forum,Tipaza
Hanson2016_1193,Hippodrome,Tipaza
Hanson2016_1193,Nymphaeum,Tipaza
Hanson2016_1193,Temple,Tipaza
Hanson2016_1193,Temple,Tipaza
Hanson2016_1193,Temple ('capitolium'),Tipaza
Hanson2016_1193,Temple of Baal Hammon / Saturn,Tipaza
Hanson2016_1193,Theatre,Tipaza
Hanson2016_1193,Walls,Tipaza
Hanson2016_1193,Walls,Tipaza
Hanson2016_1194,Aqueduct,Tiklat
Hanson2016_1194,Aqueduct,Tiklat
Hanson2016_1194,Aqueduct,Tiklat
Hanson2016_1194,Aqueduct,Tiklat
Hanson2016_1194,Baths,Tiklat
Hanson2016_1194,Walls,Tiklat
Hanson2016_1195,Capitolium,Oudjel
Hanson2016_1195,Theatre,Oudjel
Hanson2016_1197,Basilica,Sidi Ali bou Jenoun
Hanson2016_1197,Baths (North),Sidi Ali bou Jenoun
Hanson2016_1197,Baths (North-West),Sidi Ali bou Jenoun
Hanson2016_1197,Baths (South),Sidi Ali bou Jenoun
Hanson2016_1197,Baths (South-West),Sidi Ali bou Jenoun
Hanson2016_1197,Curia,Sidi Ali bou Jenoun
Hanson2016_1197,Forum,Sidi Ali bou Jenoun
Hanson2016_1197,Macellum,Sidi Ali bou Jenoun
